scenario_id,scenario_name,codename,campaign_start,campaign_end,threat_actor_type,primary_fraud_type,secondary_fraud_type,channels_targeted,total_transactions_flagged,total_exposure_usd,confirmed_loss_usd,recovered_usd,accounts_compromised,detection_method,detection_latency_hours,linked_case_ids,severity_level,regulatory_action,containment_actions,outcome,threat_intel_source,analyst_notes
SCN-2024-001,Operation GoldenWire — BEC Campaign,GOLDENWIRE,2024-05-01,2024-07-31,ORGANIZED_CRIME,BEC,WIRE_FRAUD,WIRE_INTERNATIONAL,12,2850000.00,850000.00,0.00,3,ML_MODEL_FLAG|BLACKLIST_HIT,0.75,CASE-2024-0004|CASE-2024-0010,P0,SAR_FILED|LAW_ENFORCEMENT_REFERRAL,WIRE_HOLD|ACCOUNT_FREEZE|SWIFT_RECALL_INITIATED,OPEN — $850K unrecovered — FinCEN investigation active,FS-ISAC|ZENITH_THREAT_INTEL,AI-generated BEC emails impersonating CFO; Nigeria beneficiary bank match on SWIFT blacklist; Three linked business accounts targeted; Coordinated wire timing 10PM-midnight UTC
SCN-2024-002,CredentialStorm Q2 — Credential Stuffing Wave,CREDSTORM,2024-03-28,2024-05-15,BOTNET_OPERATOR,CNP_FRAUD,ATO,CARD_CNP|DIGITAL_WALLET,847,312450.00,187200.00,187200.00,34,VELOCITY_BREACH|ML_MODEL_FLAG,2.50,CASE-2024-0002|CASE-2024-0007|CASE-2024-0021,P1,SAR_FILED,BATCH_CARD_INVALIDATION|IP_BLOCK_RANGE|VELOCITY_RULE_TIGHTEN,RESOLVED — Full chargeback recovery — Source breach: US retailer database,DARKWEB_MONITOR|HAVEIBEENPWNED_FEED,347 compromised card credentials purchased on dark web; Source identified as Q1 2024 US retailer breach; Coordinated across 34 accounts over 7 weeks; Bot user-agent strings identified in logs
SCN-2024-003,PhantomCard Ring — ATM Skimming Operation,PHANTOMCARD,2024-01-15,2024-06-30,FRAUD_RING,SKIMMING,COUNTERFEIT_CARD,CARD_POS,28,47800.00,32650.00,32650.00,12,HIGH_RISK_SCORE|VELOCITY_BREACH,18.00,CASE-2024-0005|CASE-2024-0012|CASE-2024-0028,P2,POLICE_REPORT_FILED,CARD_REISSUE|ATM_DEVICE_INSPECTION|GEOFENCE_ALERT,RESOLVED — Physical skimming device recovered by law enforcement — 12 cards reissued,LOCAL_LE_REFERRAL|INTERNAL_INTEL,Skimming devices found at 3 Shell Gas Station ATMs in CA; Multi-card reuse within 2-hour windows; Fraud ring linked to 6 similar incidents at peer institutions; FBI IC3 referral filed
SCN-2024-004,SynthWave-24 — Synthetic Identity Ring,SYNTHWAVE24,2024-09-01,2024-12-31,ORGANIZED_FRAUD_RING,SYNTHETIC_ID,MULE_NETWORK,ACH_CREDIT|DIGITAL_TRANSFER,23,195000.00,67500.00,0.00,8,PATTERN_MATCH|NETWORK_ANALYSIS,72.00,CASE-2024-0006|CASE-2024-0029|CASE-2024-0040,P2,SAR_FILED|CREDIT_BUREAU_ALERT,ACCOUNT_FREEZE|ID_FORENSICS|NETWORK_EXPANSION,UNDER INVESTIGATION — 3 confirmed accounts; 5 suspected; SARs filed,SOCURE_IDENTITY_INTEL|INTERNAL_NETWORK_GRAPH,SSN first-issue dates inconsistent with stated age; Fabricated state IDs with microprint anomalies detected by AI; Buildup phase: 60-90 days small legitimate transactions then bust-out; Shared device fingerprints across 8 accounts; Coordinated drain within 72-hour window
SCN-2024-005,MuleFlux Network — Money Laundering via P2P,MULEFLUX,2024-06-15,2024-09-30,MONEY_MULE_NETWORK,MULE_NETWORK,ACH_FRAUD,DIGITAL_TRANSFER|ACH_DEBIT,45,287000.00,87500.00,78750.00,6,VELOCITY_BREACH|NETWORK_ANALYSIS,6.00,CASE-2024-0014|CASE-2024-0033,P2,SAR_FILED_MULTI_SUBJECT|FRAUD_CONSORTIUM_SHARED,ACCOUNT_FREEZE|NETWORK_EXPANSION|MULE_ACCOUNT_CLOSURE,PARTIALLY RESOLVED — 90% recovery — 6 mule accounts closed — IOCs shared with consortium,FS-ISAC|PEER_INSTITUTION_TIP,Classic smurfing pattern: inbound digital transfers → rapid split to 3-4 accounts; Average transit time 8 minutes inbound to outbound; Shared proxy IP cluster 192.168.x.x range; Multiple accounts shared one phone number; Layering across 3 institutions identified
SCN-2024-006,RansomACH Campaign — Phishing to ACH,RANSOMACH,2024-02-01,2024-04-30,PHISHING_ACTOR,ACH_FRAUD,ACCOUNT_ABUSE,ACH_CREDIT|ACH_DEBIT,18,245000.00,28500.00,28500.00,4,PATTERN_MATCH|ML_MODEL_FLAG,4.50,CASE-2024-0003|CASE-2024-0008|CASE-2024-0017,P2,SAR_FILED,NACHA_REVERSAL|ACCOUNT_HOLD|PHISHING_DOMAIN_TAKEDOWN,RESOLVED — Full NACHA recovery — Phishing domains taken down,ABUSEIPDB|PHISHING_INTEL_FEED,Spearphishing emails impersonating payroll providers; ACH credits initiated from fictitious company names; Phantom payroll scheme targeting business accounts; All amounts structured below $30K to avoid enhanced review; NACHA R10 return codes used for full recovery
SCN-2024-007,DeepPhish ATO Wave — AI Phishing + SIM Swap,DEEPPHISH,2024-09-15,2024-11-30,APT_FINANCIAL,ATO,DEVICE_COMPROMISE,DIGITAL_WALLET|DIGITAL_TRANSFER,31,198500.00,41763.00,41763.00,9,DEVICE_MISMATCH|ML_MODEL_FLAG,1.50,CASE-2024-0009|CASE-2024-0020|CASE-2024-0036,P2,SAR_FILED,SIM_SWAP_REVERSAL|PASSWORD_FORCE_RESET|FIDO2_UPGRADE,RESOLVED — Full recovery — 9 accounts remediated — FIDO2 authentication deployed,TELECOM_THREAT_INTEL|FSISAC,AI-generated highly personalized phishing emails with no grammatical errors; SIM swap attacks coordinated with phishing to bypass SMS 2FA; New device registration followed immediately by high-value Zelle transfer; ML model v2.3 ATO module detected 9/9 incidents; Behavioral anomaly: new device + channel-first-use + late night time combination
SCN-2024-008,LuxuryFraud CNP Cluster — High-Value CNP Ring,LUXURYCNP,2024-02-15,2024-08-31,CARDING_RING,CNP_FRAUD,STOLEN_CREDENTIALS,CARD_CNP,67,312890.00,156450.00,156450.00,15,GEO_ANOMALY|BLACKLIST_HIT|ML_MODEL_FLAG,3.00,CASE-2024-0002|CASE-2024-0013|CASE-2024-0025|CASE-2024-0038,P2,SAR_FILED,CARD_INVALIDATION|GEO_BLOCK_RO_CN|MERCHANT_WATCHLIST,RESOLVED — Full chargeback recovery — Geographic blocks implemented,VISA_FRAUD_INTEL|DARKWEB_MONITOR,Stolen card data targeting luxury goods merchants; Shipping to freight forwarders in Romania and China; Coordinated purchases 11PM-3AM UTC; MCC 5944 (jewelry/watches) highest risk concentration; Card data sourced from Q1 US retailer breach (linked to SCN-2024-002)
SCN-2024-009,CrossBorder Express — Shell Corp Wire Network,CROSSBORDER,2024-07-01,2024-12-31,ORGANIZED_CRIME,WIRE_FRAUD,BEC,WIRE_INTERNATIONAL,8,1865000.00,1145000.00,390000.00,4,PATTERN_MATCH|ML_MODEL_FLAG|GEO_ANOMALY,2.00,CASE-2024-0015|CASE-2024-0019|CASE-2024-0022|CASE-2024-0039,P0,SAR_FILED|OFAC_REFERRAL|LAW_ENFORCEMENT,SWIFT_RECALL|INTERNATIONAL_FREEZE_ORDER|FIU_INVESTIGATION,PARTIALLY RESOLVED — $390K recovered — $755K outstanding — International FIU coordination,FS-ISAC|SWIFT_THREAT_INTEL|INTERPOL_NOTICE,Shell corporation network in Cayman Islands and Romania; Beneficiary accounts rotated every 3 transactions; SWIFT gpi tracking confirmed funds moved to secondary accounts within 4 hours; International FIU coordination ongoing; Three related entities identified across 4 jurisdictions
SCN-2024-010,InsiderEdge — Compromised Employee Scheme,INSIDEREDGE,2024-10-01,2024-11-15,INSIDER_THREAT,WIRE_FRAUD,ACCOUNT_ABUSE,WIRE_DOMESTIC|ACH_CREDIT,6,425000.00,125000.00,125000.00,2,PATTERN_MATCH|BEHAVIORAL_ANOMALY,96.00,,P1,SAR_FILED|HR_ESCALATION|IT_FORENSICS,ACCOUNT_SUSPENSION|CREDENTIAL_REVOKE|FORENSIC_INVESTIGATION,RESOLVED — Full recovery — Employee investigation concluded — Disciplinary action taken,INTERNAL_AUDIT|DLP_SYSTEM,Wire transactions approved outside normal dual-control process; Employee accessed accounts outside normal working hours; DLP alert on unusual file downloads preceding wire approvals; Pattern: wire approvals at unusual hours with waived callbacks; Full recovery via wire recall within 6-hour window; Employee terminated — civil recovery pending
